State,State_Partisanship,Marketplace_Type,Federal_grants_awarded,Medicaid_Expansion,Pre-open_Enrollment_Monthly_Average_Medicaid_and_CHIP_Enrollment_July-Sept_2013,Total_Medicaid_and_CHIP_Enrollment_April_2014_Preliminary,Number_of_Individuals_Who_Have_Selected_a_Marketplace_Plan,QHP_target
Alabama,Rep,FFM,9772451,No,799176,765286,97870,77000
Alaska,Rep,FFM,0,No,120946,123212,12890,21000
Arizona,Rep,FFM,30877097,Yes,1201770,1345403,120071,131000
Arkansas,Dem,FFM,58149831,Yes,680920,829729,43446,53000
California,Dem,SBE,1065683056,Yes,9157000,10600000,1405102,686000
Colorado,Dem,SBE,178931023,Yes,783420,1046872,125402,87000
Connecticut,Dem,SBE,164466462,Yes,NA,"704,387",79192,38000
Delaware,Dem,FFM,21258247,Yes,223324,234105,14087,10000
District of Columbia,Dem,SBE,133573928,Yes,235786,245021,10714,4000
Florida,Rep,FFM,0,No,3117565,3326677,983775,578000
Georgia,Rep,FFM,1000000,No,1702650,1821085,316543,235000
Hawaii,Dem,SBE,205342270,Yes,288358,314368,8592,9000
Idaho,Rep,FFM,59683889,No,251926,272166,76061,39000
Illinois,Dem,FFM,154813136,Yes,2626943,2849420,217492,190000
Indiana,Rep,FFM,7895126,No,1120674,1154736,132423,119000
Iowa,Rep,FFM,59683889,Yes,493515,583819,29163,38000
Kansas,Rep,FFM,1000000,No,397989,426360,57013,52000
Kentucky,Dem,SBE,253698351,Yes,840926,1106017,82747,66000
Louisiana,Rep,FFM,0,No,1019787,1019672,101778,121000
Maine,Rep,FFM,6877676,No,NA,NA,44258,24000
Maryland,Dem,SBE,171013111,Yes,856297,1110476,67757,88000
Massachusetts,Dem,SBE,170141426,Yes,1296359,1454361,31695,15000
Michigan,Rep,FFM,41517021,Yes,1912009,2073421,272539,140000
Minnesota,Dem,SBE,155020465,Yes,873040,1004643,48495,44000
Mississippi,Rep,FFM,38039341,No,714055,744612,61494,57000
Missouri,Dem,FFM,21865716,No,846084,806639,152335,115000
Montana,Dem,FFM,1000000,No,139604,154054,36584,28000
Nebraska,Rep,FFM,6481838,No,244600,236212,42975,36000
Nevada,Rep,SBE,90773768,Yes,332559,469110,45390,63000
New Hampshire,Dem,FFM,11868078,Yes,127082,136196,40262,29000
New Jersey,Rep,FFM,8897316,Yes,1283851,1435827,161775,150000
New Mexico,Rep,FFM,123281600,Yes,572111,635321,32062,47000
New York,Dem,SBE,511253660,Yes,5678418,6003065,370451,266000
North Carolina,Rep,FFM,87357315,No,1744160,1780204,357584,230000
North Dakota,Rep,FFM,1000000,Yes,NA,NA,10597,10000
Ohio,Rep,FFM,1000000,Yes,2341482,2630067,154668,175000
Oklahoma,Rep,FFM,1000000,No,790051,796440,69221,100000
Oregon,Dem,SBE,304963587,Yes,626357,935932,68308,65000
Pennsylvania,Rep,FFM,34832212,No,2386046,2443029,318077,225000
Rhode Island,Dem,SBE,134535355,Yes,190833,250759,28485,15000
South Carolina,Rep,FFM,1000000,No,988349,1130899,118324,106000
South Dakota,Rep,FFM,6879569,No,115501,116259,13104,17000
Tennessee,Rep,FFM,9110165,No,1244516,1333669,151352,125000
Texas,Rep,FFM,1000000,No,4441605,4480564,733757,808000
Utah,Rep,FFM,6407987,No,322442,334986,84601,65000
Vermont,Dem,SBE,172641081,Yes,127162,174587,38048,6000
Virginia,Dem,FFM,9567803,No,1003266,1048244,216356,158000
Washington,Dem,SBE,266026060,Yes,1117576,1482300,163207,106000
West Virginia,Dem,FFM,20832828,Yes,354544,508496,19856,31000
Wisconsin,Rep,FFM,999873,No,1161876,1174176,139815,86000
Wyoming,Rep,FFM,800000,No,72206,68279,11970,16000
