Date, Open, High, Low, Close, Volume
03/15/24, 9.16, 9.38, 9.07, 9.31, 6442915
03/14/24, 9.68, 9.70, 9.11, 9.20, 7697091
03/13/24, 9.77, 10.065, 9.60, 9.63, 7587962
03/12/24, 10.01, 10.25, 9.61, 9.87, 8330320
03/11/24, 10.77, 10.77, 9.70, 9.79, 11908270
03/08/24, 11.16, 12.32, 10.80, 10.81, 17133609
03/07/24, 10.40, 11.32, 10.175, 10.90, 12969470
03/06/24, 9.89, 10.155, 9.31, 9.92, 9924269
03/05/24, 9.93, 10.00, 9.1512, 9.37, 13959070
03/04/24, 10.49, 10.66, 9.85, 10.09, 10708560
03/01/24, 10.31, 10.86, 10.17, 10.66, 10199120
02/29/24, 11.71, 11.7198, 10.20, 10.36, 26317480
02/28/24, 11.30, 11.6287, 11.16, 11.26, 12725130
02/27/24, 11.43, 11.6756, 11.24, 11.57, 7446969
02/26/24, 10.82, 11.30, 10.77, 11.24, 6379250
02/23/24, 11.11, 11.12, 10.53, 10.65, 4680166
02/22/24, 10.91, 11.165, 10.76, 10.99, 5899635
02/21/24, 10.42, 10.71, 10.35, 10.63, 4109474
02/20/24, 10.87, 11.01, 10.35, 10.62, 5079747
02/16/24, 11.26, 11.26, 10.70, 10.82, 5774466
02/15/24, 11.17, 11.28, 10.77, 11.01, 5129275
02/14/24, 10.94, 10.98, 10.50, 10.93, 5604434
02/13/24, 10.73, 10.90, 10.45, 10.54, 7615518
02/12/24, 11.13, 12.025, 11.06, 11.62, 7744256
02/09/24, 11.23, 11.25, 10.76, 11.16, 5637256
02/08/24, 10.45, 10.99, 10.38, 10.90, 5687713
02/07/24, 10.37, 10.50, 10.16, 10.41, 4608736
02/06/24, 9.90, 10.46, 9.79, 10.44, 5674097
02/05/24, 10.12, 10.16, 9.60, 9.87, 5647793
02/02/24, 10.02, 10.3381, 9.89, 10.27, 5139738
02/01/24, 10.47, 10.48, 9.935, 10.24, 7506034
01/31/24, 10.62, 10.935, 10.27, 10.27, 7529454
01/30/24, 11.06, 11.1199, 10.55, 10.69, 5563726
01/29/24, 10.89, 11.22, 10.75, 11.21, 4820083
01/26/24, 11.38, 11.57, 10.955, 11.01, 4796061
01/25/24, 11.45, 11.99, 11.16, 11.28, 7254597
01/24/24, 12.05, 12.10, 11.06, 11.07, 5092367
01/23/24, 12.10, 12.12, 11.5424, 11.75, 5291401
01/22/24, 11.18, 11.865, 11.15, 11.72, 7254920
01/19/24, 10.84, 10.86, 10.32, 10.85, 5365696
01/18/24, 11.39, 11.40, 10.47, 10.72, 6329262
01/17/24, 10.70, 10.89, 10.46, 10.85, 4866353
01/16/24, 11.20, 11.27, 10.87, 10.97, 5654503
01/12/24, 11.74, 11.965, 11.37, 11.40, 4476916
01/11/24, 12.07, 12.27, 11.36, 11.56, 7131271
01/10/24, 12.46, 12.49, 11.61, 12.09, 7384831
01/09/24, 12.42, 12.64, 12.17, 12.45, 4920947
01/08/24, 12.12, 12.73, 12.025, 12.64, 6044317
01/05/24, 12.09, 12.38, 11.95, 12.00, 6103555
01/04/24, 12.06, 12.61, 11.85, 12.28, 7264447
01/03/24, 11.81, 12.0897, 11.77, 11.93, 6225723
01/02/24, 12.35, 12.5899, 12.10, 12.16, 5951056
12/29/23, 13.17, 13.18, 12.33, 12.39, 8605308
12/28/23, 13.15, 13.395, 13.02, 13.23, 5065110
12/27/23, 13.64, 13.91, 13.17, 13.21, 7445210
12/26/23, 13.67, 13.74, 13.00, 13.52, 8866839
12/22/23, 13.91, 14.15, 13.53, 13.64, 4895885
12/21/23, 13.83, 14.00, 13.515, 13.79, 4937341
12/20/23, 14.18, 14.61, 13.33, 13.39, 8701214
12/19/23, 14.68, 15.23, 14.23, 14.32, 7388685
